feature,source_group,measurement_type,scored_by,weight_in_dimension,points_at_maximum,transform,engineered,missing_pct_raw,min,max,mean,sd,prevalence_pct,corr_with_score
a75_bookmark,Accessibility,binary flag,--,,0.0,"present on 1.0% of sites; a browser feature, not a page property",0,0.0,0.0,1.0,0.01,0.099,1.0,0.067
a25_event_images,Events & media,binary flag,--,,0.0,"media richness; presence is measurable, quality is not",0,0.0,0.0,1.0,0.718,0.45,71.8,0.192
a26_event_captions,Events & media,binary flag,--,,0.0,"media richness; presence is measurable, quality is not",0,0.0,0.0,1.0,0.655,0.476,65.5,0.211
a28_contests,Events & media,binary flag,--,,0.0,engagement signal; serves no applicant information need,0,0.0,0.0,1.0,0.405,0.491,40.5,0.289
a29_video_content,Events & media,binary flag,--,,0.0,"media richness; presence is measurable, quality is not",0,0.0,0.0,1.0,0.367,0.482,36.7,0.036
a30_image_gallery,Events & media,binary flag,--,,0.0,"media richness; presence is measurable, quality is not",0,0.0,0.0,1.0,0.971,0.169,97.1,0.17
a31_social_feed_embed,Events & media,binary flag,--,,0.0,media richness; present on 5.6% of sites,0,0.0,0.0,1.0,0.056,0.231,5.6,0.012
a53_contrast_ratio_was_missing,Measurement quality,indicator (0/1),--,,0.0,"measurement metadata, not a property of the website",1,,0.0,1.0,0.001,0.029,0.1,-0.087
a72_alt_text_pct_was_missing,Measurement quality,indicator (0/1),--,,0.0,"measurement metadata, not a property of the website",1,,0.0,1.0,0.003,0.057,0.3,-0.067
notice_recency_days_was_missing,Measurement quality,indicator (0/1),--,,0.0,"measurement metadata, not a property of the website",1,,0.0,1.0,0.382,0.486,38.2,-0.305
a07_qs_badge,Rankings & recognition,binary flag,--,,0.0,prestige display; excluded to prevent prestige leakage,0,0.0,0.0,1.0,0.095,0.293,9.5,0.071
a09_national_rank,Rankings & recognition,binary flag,--,,0.0,prestige display; excluded to prevent prestige leakage,0,0.0,0.0,1.0,0.471,0.499,47.1,0.267
a12_accred_count,Rankings & recognition,count,--,,0.0,count depth of a badge already scored by presence,0,0.0,0.0,4.0,0.308,0.52,,0.188
a14_stats_block,Rankings & recognition,binary flag,--,,0.0,marketing block; serves no applicant information need,0,0.0,0.0,1.0,0.509,0.5,50.9,0.134
a15_stat_item_count,Rankings & recognition,count,--,,0.0,count depth of a marketing block,0,0.0,0.0,10.0,3.421,3.893,,0.124
a59_feedback_form,Service & interaction,binary flag,--,,0.0,present on 1.9% of sites; too rare to carry weight,0,0.0,0.0,1.0,0.019,0.136,1.9,-0.002
a61_testimonials,Service & interaction,binary flag,--,,0.0,marketing; serves no applicant information need,0,0.0,0.0,1.0,0.144,0.351,14.4,0.213
broken_links_log,Technical performance,log1p count,--,,0.0,"redundant transform of a66, which is scored",1,,0.0,7.03,0.212,0.541,,-0.064
a54_banner_carousel,Visual design,binary flag,--,,0.0,visual presentation the dataset cannot assess for quality,0,0.0,0.0,1.0,0.938,0.241,93.8,0.167
a57_logo_prominence,Visual design,binary flag,--,,0.0,visual presentation the dataset cannot assess for quality,0,0.0,0.0,1.0,0.653,0.476,65.3,0.151
a34_department_links,Page content,binary flag,D1,0.25,7.0,identity (0/1),0,0.0,0.0,1.0,0.737,0.44,73.7,0.621
a35_faculty_link,Page content,binary flag,D1,0.15,4.2,identity (0/1),0,0.0,0.0,1.0,0.824,0.381,82.4,0.637
a36_research_highlight,Page content,binary flag,D1,0.1,2.8,identity (0/1),0,0.0,0.0,1.0,0.882,0.323,88.2,0.647
