% University Website Quality - CSE 4112 Machine Learning Laboratory, KUET
%
% 1225 university landing pages, 71 predictive attributes.
% 60 attributes are nominal {0,1} presence flags; 11 are numeric counts, percentages, ratios or z-scores.
% Identifier columns (uni_id, name, url, country, region) are excluded on purpose so no
% model can memorise a university; index_*.csv maps instance number back to the name.
% All 22 Bangladeshi universities are in the test split and none is in train.
% There are no missing values: they were imputed during dataset construction and every
% imputed column carries a companion *_was_missing flag.
%
% Relation: website_grade_all_named
% Instances: 1225
% Target attribute: grade (nominal, worst to best: F < D < C < B < A < A+)
%
% Attribute 1 is the university name, present only so Weka can label its
% predictions. It must NOT reach the model: wrap the scheme in
%   weka.classifiers.meta.FilteredClassifier
%     -F "weka.filters.unsupervised.attribute.Remove -R 1"
% and set 'Output predictions' to also output attribute 1.

@relation website_grade_all_named

@attribute university string
@attribute a01_logo {0,1}
@attribute a02_primary_nav {0,1}
@attribute a03_nav_item_count numeric
@attribute a04_search_bar {0,1}
@attribute a05_language_toggle {0,1}
@attribute a06_breadcrumb {0,1}
@attribute a07_qs_badge {0,1}
@attribute a09_national_rank {0,1}
@attribute a11_accreditation {0,1}
@attribute a12_accred_count numeric
@attribute a13_achievements {0,1}
@attribute a14_stats_block {0,1}
@attribute a15_stat_item_count numeric
@attribute a16_notice_board {0,1}
@attribute a17_notice_timestamp {0,1}
@attribute a20_news_events {0,1}
@attribute a21_calendar_link {0,1}
@attribute a22_admission_notice {0,1}
@attribute a23_upcoming_events {0,1}
@attribute a24_event_count numeric
@attribute a25_event_images {0,1}
@attribute a26_event_captions {0,1}
@attribute a27_event_datetime {0,1}
@attribute a28_contests {0,1}
@attribute a29_video_content {0,1}
@attribute a30_image_gallery {0,1}
@attribute a31_social_feed_embed {0,1}
@attribute a32_vision_mission {0,1}
@attribute a33_about_blurb {0,1}
@attribute a34_department_links {0,1}
@attribute a35_faculty_link {0,1}
@attribute a36_research_highlight {0,1}
@attribute a37_programs_listing {0,1}
@attribute a38_scholarship {0,1}
@attribute a39_library_link {0,1}
@attribute a40_career_link {0,1}
@attribute a41_alumni_link {0,1}
@attribute a42_faq_link {0,1}
@attribute a43_contact_link {0,1}
@attribute a44_student_portal {0,1}
@attribute a45_prospectus {0,1}
@attribute a46_admissions_policy {0,1}
@attribute a47_footer_contact {0,1}
@attribute a48_footer_sitemap {0,1}
@attribute a49_copyright_line {0,1}
@attribute a50_social_links {0,1}
@attribute a51_quick_links {0,1}
@attribute a53_contrast_ratio numeric
@attribute a53_contrast_ratio_was_missing {0,1}
@attribute a54_banner_carousel {0,1}
@attribute a57_logo_prominence {0,1}
@attribute a58_live_chat {0,1}
@attribute a59_feedback_form {0,1}
@attribute a60_trust_seal {0,1}
@attribute a61_testimonials {0,1}
@attribute a63_mobile_score numeric
@attribute a65_https {0,1}
@attribute a66_broken_links numeric
@attribute a67_gzip {0,1}
@attribute a69_title_meta {0,1}
@attribute a70_favicon {0,1}
@attribute a71_sitemap_robots {0,1}
@attribute a72_alt_text_pct numeric
@attribute a72_alt_text_pct_was_missing {0,1}
@attribute a73_accessible_design {0,1}
@attribute a74_a11y_toggle {0,1}
@attribute a75_bookmark {0,1}
@attribute broken_links_log numeric
@attribute load_time_z_region numeric
@attribute notice_recency_days numeric
@attribute notice_recency_days_was_missing {0,1}
@attribute grade {F,D,C,B,A,'A+'}

@data
'Eotvos Lorand University',1,1,5,1,1,0,1,1,1,1,1,1,10,1,1,1,1,1,1,15,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,19.44,0,1,1,1,0,0,0,100,1,1,1,1,1,0,86.2,0,1,1,0,0.693147,-0.631531,5,0,'A+'
'University of New England',1,1,6,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,11,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,15.91,0,1,1,0,0,0,1,90,1,0,1,1,1,1,13.8,0,1,1,0,0,0.217901,1,0,'A+'
'University of Strasbourg',1,1,6,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,17,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,18.88,0,0,1,0,0,0,0,75,1,0,1,1,1,0,26.5,0,1,1,0,0,-1.13669,0,0,'A+'
'University of Porto',0,1,5,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,10,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,15.43,0,1,0,0,0,1,0,75,1,0,1,1,1,1,100,0,1,1,0,0,-0.478907,6,0,'A+'
'Nanyang Technological University',1,1,7,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,12.63,0,1,1,1,0,0,0,100,1,0,1,1,1,1,47.1,0,1,0,0,0,-0.626786,0,0,'A+'
'Gauhati University',1,1,7,1,0,0,0,1,1,1,1,1,10,1,1,1,1,1,1,11,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,16.81,0,1,1,0,0,0,0,90,1,0,1,1,1,1,58.5,0,1,1,0,0,-1.25657,0,0,'A+'
'RWTH Aachen University',1,1,6,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,4,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,16.98,0,1,1,0,0,0,0,90,1,0,1,1,1,0,91.7,0,1,1,0,0,0.537227,0,0,'A+'
'University of Leicester',1,1,8,1,0,0,0,1,1,1,1,1,6,1,1,1,0,1,1,11,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,11.03,0,1,1,0,0,0,1,100,1,0,1,1,1,1,100,0,1,1,0,0,-0.0634251,0,0,'A+'
'Southern Cross University',1,1,6,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,4,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,16.04,0,1,1,1,0,0,0,100,1,0,1,1,1,1,83,0,1,0,0,0,-0.524304,0,0,'A+'
'Maynooth University',1,1,20,1,0,0,0,1,0,0,1,1,10,1,1,1,0,1,1,7,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.63,0,1,1,0,0,1,1,75,1,0,1,1,1,1,72.7,0,1,1,0,0,-1.01812,0,0,'A+'
'Sophia University',1,1,5,1,1,0,0,0,0,0,1,1,7,1,1,1,0,1,1,12,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,13.46,0,1,1,0,0,0,1,100,1,1,0,1,1,1,41.6,0,1,0,0,0.693147,0.0988196,0,0,'A+'
'City, University of London',1,1,2,1,0,1,0,1,1,2,1,1,8,0,1,1,1,1,1,18,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,16.67,0,1,1,0,0,1,0,100,1,0,1,1,1,1,87.9,0,1,1,0,0,-1.01157,0,0,'A+'
'Sorbonne University',1,1,5,1,1,0,0,0,1,0,1,1,10,1,1,1,1,1,1,2,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,12.63,0,1,0,0,0,0,0,90,1,0,1,0,1,1,34.6,0,1,1,1,0,-1.23587,0,0,'A+'
'University of Otago',1,1,7,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,3,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,15.42,0,1,1,0,0,0,0,100,1,0,1,1,1,1,82.6,0,1,1,0,0,0.257822,0,0,'A+'
'University of Tartu',1,1,8,1,1,0,0,1,1,1,1,1,10,0,1,1,1,1,1,20,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,15.43,0,1,1,0,0,0,0,75,1,0,1,1,1,1,74.1,0,1,1,0,0,-1.28251,0,0,'A+'
'University of Wollongong',1,1,7,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,3,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,17.63,0,1,1,0,0,0,1,100,1,0,1,1,0,1,35,0,1,1,0,0,-0.0294467,0,0,'A+'
'FAU Erlangen-Nuremberg',1,1,1,1,1,0,0,1,1,0,1,1,7,1,1,1,1,1,1,13,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,21,0,1,1,0,0,1,1,90,1,0,1,1,1,0,93.8,0,1,1,1,0,-0.793325,1,0,'A+'
'University of Surrey',1,1,4,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,10.76,0,1,1,1,0,0,0,100,1,0,0,1,1,1,42.1,0,1,1,0,0,-0.465476,0,0,'A+'
'University of Limpopo',1,1,9,1,0,0,0,0,1,1,1,1,10,1,1,1,1,1,1,6,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,4.32,0,1,1,0,0,0,0,90,1,0,1,1,1,1,19.1,0,1,0,0,0,-0.141202,6,0,'A+'
'Lancaster University',1,1,2,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,16.52,0,1,1,0,0,0,1,100,1,0,1,1,1,1,88.9,0,1,1,0,0,-1.12117,5,0,'A+'
'Sharda University',1,1,8,0,0,0,0,1,1,1,1,1,10,1,1,1,1,1,1,3,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,11.29,0,1,1,0,0,1,1,75,1,2,1,1,1,1,82.1,0,1,0,0,1.09861,-0.483732,4,0,'A+'
'University of Mannheim',1,1,6,1,1,1,0,1,0,0,1,1,4,1,1,1,1,1,1,19,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,13.01,0,1,1,0,0,1,0,90,1,0,1,1,1,1,88.6,0,1,1,1,0,-0.756709,0,0,'A+'
'Symbiosis International University',1,1,7,1,0,0,0,0,1,1,1,1,10,1,1,1,1,1,1,13,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,15.95,0,1,1,1,0,0,1,100,1,1,0,1,1,1,98.1,0,1,0,0,0.693147,-0.0587765,0,0,'A+'
'Makerere University',1,1,6,1,0,0,0,0,1,1,1,1,4,1,1,1,1,1,1,14,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,14.55,0,1,1,0,0,0,0,75,1,0,1,0,1,1,31.6,0,1,1,0,0,0.11096,4,0,'A+'
'Nazarbayev University',1,1,7,1,1,0,0,1,1,1,1,1,10,1,1,1,1,1,1,6,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,11.9,0,1,0,0,0,0,1,90,1,0,1,0,1,1,84.6,0,1,0,0,0,1.3963,0,0,'A+'
'Lincoln University',1,1,19,1,0,0,0,1,1,1,1,1,10,0,1,1,1,1,1,20,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,15.91,0,1,1,0,0,0,1,100,1,0,1,1,1,1,90,0,1,0,0,0,1.03555,0,0,'A+'
'University of Arizona',1,1,3,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,6,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,15.43,0,1,1,0,0,0,0,90,1,0,1,1,1,1,66.7,0,1,1,0,0,0.450543,6,0,'A+'
'Indian Institute of Technology Madras',1,1,9,1,1,1,0,1,1,0,1,1,8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,21,0,1,1,0,0,0,0,75,1,0,1,1,1,1,85.1,0,1,1,0,0,-0.934921,1,0,'A+'
