weka_instance,uni_id,name,url,country,region,website_score,grade
1,3167,Eotvos Lorand University,https://www.elte.hu,Hungary,Eastern & Southern Europe,94.94,A+
2,5145,University of New England,https://www.une.edu.au,Australia,South & Central Asia + Oceania,94.36,A+
3,2084,University of Strasbourg,https://www.unistra.fr,France,Western & Northern Europe,93.72,A+
4,3102,University of Porto,https://www.up.pt,Portugal,Eastern & Southern Europe,93.36,A+
5,4147,Nanyang Technological University,https://www.ntu.edu.sg,Singapore,Asia (East & Southeast),92.9,A+
6,5419,Gauhati University,https://www.gauhati.ac.in,India,South & Central Asia + Oceania,92.73,A+
7,2046,RWTH Aachen University,https://www.rwth-aachen.de,Germany,Western & Northern Europe,92.46,A+
8,2029,University of Leicester,https://www.le.ac.uk,United Kingdom,Western & Northern Europe,92.09,A+
9,5139,Southern Cross University,https://www.scu.edu.au,Australia,South & Central Asia + Oceania,91.98,A+
10,2309,Maynooth University,https://www.maynoothuniversity.ie,Belgium/Ireland/Iceland,Western & Northern Europe,91.88,A+
11,4092,Sophia University,https://www.sophia.ac.jp,Japan,Asia (East & Southeast),91.84,A+
12,2038,"City, University of London",https://www.city.ac.uk,United Kingdom,Western & Northern Europe,91.61,A+
13,2078,Sorbonne University,https://www.sorbonne-universite.fr,France,Western & Northern Europe,91.46,A+
14,5150,University of Otago,https://www.otago.ac.nz,New Zealand,South & Central Asia + Oceania,89.99,A+
15,3199,University of Tartu,https://www.ut.ee,Baltics,Eastern & Southern Europe,89.66,A+
16,5127,University of Wollongong,https://www.uow.edu.au,Australia,South & Central Asia + Oceania,89.11,A+
17,2060,FAU Erlangen-Nuremberg,https://www.fau.de,Germany,Western & Northern Europe,89.01,A+
18,2036,University of Surrey,https://www.surrey.ac.uk,United Kingdom,Western & Northern Europe,88.98,A+
19,6327,University of Limpopo,https://www.ul.ac.za,South Africa,Latin America & Africa,88.98,A+
20,2020,Lancaster University,https://www.lancaster.ac.uk,United Kingdom,Western & Northern Europe,88.86,A+
21,5312,Sharda University,https://www.sharda.ac.in,India,South & Central Asia + Oceania,88.75,A+
22,2057,University of Mannheim,https://www.uni-mannheim.de,Germany,Western & Northern Europe,88.71,A+
23,5311,Symbiosis International University,https://www.siu.edu.in,India,South & Central Asia + Oceania,88.66,A+
24,6152,Makerere University,https://www.mak.ac.ug,Sub-Saharan Africa,Latin America & Africa,88.36,A+
25,5173,Nazarbayev University,https://www.nu.edu.kz,Central Asia,South & Central Asia + Oceania,88.32,A+
26,5155,Lincoln University,https://www.lincoln.ac.nz,New Zealand,South & Central Asia + Oceania,88.26,A+
27,1081,University of Arizona,https://www.arizona.edu,United States,North America,88.18,A+
28,5003,Indian Institute of Technology Madras,https://www.iitm.ac.in,India,South & Central Asia + Oceania,88.12,A+
29,2098,University of Caen Normandy,https://www.unicaen.fr,France,Western & Northern Europe,87.91,A+
30,5124,Queensland University of Technology,https://www.qut.edu.au,Australia,South & Central Asia + Oceania,87.91,A+
31,2192,University of Liege,https://www.uliege.be,Belgium/Ireland/Iceland,Western & Northern Europe,87.81,A+
32,2008,London School of Economics,https://www.lse.ac.uk,United Kingdom,Western & Northern Europe,87.5,A+
33,5122,Curtin University,https://www.curtin.edu.au,Australia,South & Central Asia + Oceania,87.5,A+
34,1093,University of Houston,https://www.uh.edu,United States,North America,87.38,A+
35,6337,Sokoine University of Agriculture,https://www.sua.ac.tz,Sub-Saharan Africa,Latin America & Africa,87.29,A+
36,6328,University of Fort Hare,https://www.ufh.ac.za,South Africa,Latin America & Africa,87.27,A+
37,3005,Polytechnic University of Milan,https://www.polimi.it,Italy,Eastern & Southern Europe,87.26,A+
38,6521,Walter Sisulu University,https://www.wsu.ac.za,South Africa,Latin America & Africa,87.25,A+
39,1300,Kansas State University,https://www.k-state.edu,United States,North America,87.11,A+
