kind,block,removed,R2,MAE,MAE_increase
source group,Header & navigation,6,0.6748740168103555,6.047349650815663,4.898672929346074
scoring dimension,D4,6,0.6915568238029337,6.033897124332017,4.885220402862428
source group,Page content,15,0.872420591845688,4.691136003666893,3.5424592821973038
scoring dimension,D1,6,0.9365385043543129,2.977956173371405,1.8292794519018163
scoring dimension,D2,7,0.9551322509703146,2.9215443692680534,1.7728676477984646
source group,Notices & updates,6,0.9769547140029081,2.003443022544007,0.8547663010744182
scoring dimension,D3,9,0.9806218967403022,1.9415154886298391,0.7928387671602504
source group,Events & media,9,0.990275987837623,1.3678020888628881,0.21912536739329935
source group,Footer,5,0.9905122881822874,1.3126652042729157,0.1639884828033269
scoring dimension,D5,6,0.9905835820347052,1.2915403769878975,0.1428636555183087
source group,Accessibility,4,0.9917060915637347,1.2278284136842126,0.07915169221462381
source group,SEO & metadata,3,0.9921616970922695,1.1839065912345692,0.03522986976498044
source group,Visual design,3,0.992325531594356,1.172884126464466,0.02420740499487728
source group,Service & interaction,4,0.9924868153831959,1.160642009352854,0.01196528788326523
scoring dimension,D7,10,0.9922993518106806,1.1575897562537647,0.008913034784175933
scoring dimension,D6,7,0.9921173487415239,1.1558212331769655,0.007144511707376733
source group,Rankings & recognition,7,0.992516512939885,1.1551676768915136,0.006490955421924793
source group,Measurement quality,3,0.9925285957780031,1.1486767214695888,0.0
source group,Technical performance,6,0.9921656981849168,1.1422723951705251,-0.006404326299063623
