feature,importance,dimension
a37_programs_listing,31.561022706956994,D1 academic information
a02_primary_nav,24.866870279461637,D4 navigation & findability
a34_department_links,6.4277398228020335,D1 academic information
a36_research_highlight,6.402111354011246,D1 academic information
a35_faculty_link,5.739360695140857,D1 academic information
a22_admission_notice,4.149536776429297,D2 admission support
a39_library_link,3.4699764101153363,D1 academic information
a38_scholarship,3.370608201215039,D2 admission support
notice_recency_days,3.2298591915990764,D3 currency & activity
a03_nav_item_count,1.6956867003187424,D4 navigation & findability
a40_career_link,1.6439935189901635,D1 academic information
a46_admissions_policy,1.3306018295912552,D2 admission support
a43_contact_link,0.9072771594038324,D2 admission support
a20_news_events,0.8427089683189285,D3 currency & activity
a24_event_count,0.5037608846705492,D3 currency & activity
a41_alumni_link,0.48506658874647934,D7 identity & transparency
a21_calendar_link,0.4527558802557059,D3 currency & activity
a04_search_bar,0.36580314007535264,D4 navigation & findability
a42_faq_link,0.35088001879191205,D2 admission support
a23_upcoming_events,0.294068829334892,D3 currency & activity
a51_quick_links,0.2654975301223285,D4 navigation & findability
a45_prospectus,0.23583428945123858,D2 admission support
a73_accessible_design,0.15872510826939518,D5 usability & accessibility
a72_alt_text_pct,0.1517712503318599,D5 usability & accessibility
a17_notice_timestamp,0.13475030137040808,D3 currency & activity
a16_notice_board,0.10745893325509714,D3 currency & activity
a48_footer_sitemap,0.09037765580921933,D4 navigation & findability
load_time_z_region,0.0786715914231813,D6 technical quality & discoverability
a27_event_datetime,0.07736960384440975,D3 currency & activity
a69_title_meta,0.06849034039192042,D6 technical quality & discoverability
a50_social_links,0.0647223039617087,D7 identity & transparency
a74_a11y_toggle,0.05513295532461878,D5 usability & accessibility
a53_contrast_ratio,0.05018117933173568,D5 usability & accessibility
a06_breadcrumb,0.05004980691408546,D4 navigation & findability
a63_mobile_score,0.049184708102277624,D5 usability & accessibility
a05_language_toggle,0.04767850594388725,D5 usability & accessibility
a66_broken_links,0.02946886416884728,D6 technical quality & discoverability
a44_student_portal,0.021850070229331522,D7 identity & transparency
a32_vision_mission,0.021708770949812856,D7 identity & transparency
a26_event_captions,0.020606345873119075,not used by the scoring model
a47_footer_contact,0.015428886822548135,D7 identity & transparency
a13_achievements,0.014474043212487632,D7 identity & transparency
a11_accreditation,0.011752206024043239,D7 identity & transparency
a70_favicon,0.0111959396520875,D6 technical quality & discoverability
a71_sitemap_robots,0.009925201287551524,D6 technical quality & discoverability
a15_stat_item_count,0.009651638618129248,not used by the scoring model
a67_gzip,0.008053869521830875,D6 technical quality & discoverability
a58_live_chat,0.007710324432787448,D2 admission support
a30_image_gallery,0.00566528871492051,not used by the scoring model
a09_national_rank,0.0056020430100607215,not used by the scoring model
a33_about_blurb,0.0047492309546830255,D7 identity & transparency
a29_video_content,0.004746892955135151,not used by the scoring model
a49_copyright_line,0.004291290693039214,D3 currency & activity
a25_event_images,0.0038005055067305213,not used by the scoring model
a28_contests,0.0025008873213996754,not used by the scoring model
a57_logo_prominence,0.001972743134445752,not used by the scoring model
a54_banner_carousel,0.0019049738980157164,not used by the scoring model
a60_trust_seal,0.0017130916982494857,D7 identity & transparency
a07_qs_badge,0.0015680411794684363,not used by the scoring model
a12_accred_count,0.0010191393087498248,not used by the scoring model
a31_social_feed_embed,0.0007949962929161694,not used by the scoring model
a14_stats_block,0.0007600436502067967,not used by the scoring model
a61_testimonials,0.00056579665564136,not used by the scoring model
a01_logo,0.00045254900764714974,D7 identity & transparency
a59_feedback_form,0.0004130314121049657,not used by the scoring model
a65_https,6.827373730943547e-05,D6 technical quality & discoverability
a53_contrast_ratio_was_missing,0.0,not used by the scoring model
a75_bookmark,0.0,not used by the scoring model
a72_alt_text_pct_was_missing,0.0,not used by the scoring model
broken_links_log,0.0,not used by the scoring model
notice_recency_days_was_missing,0.0,not used by the scoring model
