model,family,R2,MAE,RMSE,Spearman
LightGBM,ensemble,0.9917121738623224,1.2563078030110408,1.7079170422823096,0.9917845920678268
Gradient Boosting,ensemble,0.9893632343613536,1.5051138757181888,1.9348675962502486,0.9900268260400333
Neural Net (MLP),neural,0.98542148019802,1.7224241995921414,2.2651823642435995,0.9844175437663936
Random Forest,ensemble,0.9706210437555547,2.3523398373983646,3.2156193798413297,0.9686214913781379
SVR (RBF kernel),kernel,0.960702931930245,2.4792952525808802,3.719003017731722,0.9790478468577166
Linear Regression,linear,0.9590611317546247,2.56480560242012,3.7958965881536977,0.9840670392509845
Ridge,linear,0.958997305477699,2.603598277162904,3.7988544567891602,0.9835015532548932
Lasso,linear,0.9561716965046198,2.8219945431475844,3.927568663912533,0.9827126155884489
Extra Trees,ensemble,0.9446635327056421,3.128596544715432,4.4131853848630245,0.9391301650433025
Decision Tree,tree,0.9151123971430897,3.7814227642276426,5.465986957049398,0.9264149115221324
k-NN (k=5),instance,0.7863875886716327,5.966089430894309,8.670810551846712,0.8750265562074752
Mean baseline,baseline,-7.161260412447135e-06,15.729907529667742,18.760655612949463,
