dimension,change,weight_from,weight_to,spearman,top10_overlap,median_rank_shift
D1,removed,28.0,0.0,0.9537,1.0,54.0
D1,halved,28.0,16.3,0.9924,1.0,19.0
D1,doubled,28.0,43.8,0.9908,1.0,24.0
D2,removed,22.0,0.0,0.9485,0.4,45.0
D2,halved,22.0,12.4,0.9904,0.8,18.0
D2,doubled,22.0,36.1,0.9859,0.8,22.0
D3,removed,15.0,0.0,0.9596,0.8,48.0
D3,halved,15.0,8.1,0.9911,0.9,21.0
D3,doubled,15.0,26.1,0.9833,0.8,25.0
D4,removed,15.0,0.0,0.9893,0.6,22.0
D4,halved,15.0,8.1,0.9971,0.9,10.0
D4,doubled,15.0,26.1,0.9917,0.8,18.0
D5,removed,10.0,0.0,0.9951,0.8,18.0
D5,halved,10.0,5.3,0.9986,0.9,8.0
D5,doubled,10.0,18.2,0.996,0.9,12.0
D6,removed,7.0,0.0,0.9976,0.9,12.0
D6,halved,7.0,3.6,0.9991,0.9,7.0
D6,doubled,7.0,13.1,0.9977,0.9,10.0
D7,removed,3.0,0.0,0.9993,0.8,4.0
D7,halved,3.0,1.5,0.9997,0.9,2.0
D7,doubled,3.0,5.8,0.9994,1.0,4.0
