uni_id,member,region,country,name,url,final_url,http_status,page_lang,native_lang,switched_to_english,fetched_at,load_time_s,a01_logo,a02_primary_nav,a03_nav_item_count,a04_search_bar,a05_language_toggle,a06_breadcrumb,a07_qs_badge,a09_national_rank,a11_accreditation,a12_accred_count,a13_achievements,a14_stats_block,a15_stat_item_count,a16_notice_board,a17_notice_timestamp,a18_recent_notice_date,a20_news_events,a21_calendar_link,a22_admission_notice,a23_upcoming_events,a24_event_count,a25_event_images,a26_event_captions,a27_event_datetime,a28_contests,a29_video_content,a30_image_gallery,a31_social_feed_embed,a32_vision_mission,a33_about_blurb,a34_department_links,a35_faculty_link,a36_research_highlight,a37_programs_listing,a38_scholarship,a39_library_link,a40_career_link,a41_alumni_link,a42_faq_link,a43_contact_link,a44_student_portal,a45_prospectus,a46_admissions_policy,a47_footer_contact,a48_footer_sitemap,a49_copyright_line,a50_social_links,a51_quick_links,a53_contrast_ratio,a54_banner_carousel,a57_logo_prominence,a58_live_chat,a59_feedback_form,a60_trust_seal,a61_testimonials,a63_mobile_score,a65_https,a66_broken_links,a67_gzip,a69_title_meta,a70_favicon,a71_sitemap_robots,a72_alt_text_pct,a73_accessible_design,a74_a11y_toggle,a75_bookmark,notice_date_future,a18_missing,country_is_bucket,country_rank_eligible
1001,M1,North America,United States,Harvard University,https://www.harvard.edu,https://www.harvard.edu/,200,en-us,en-us,False,2026-08-11T11:13:32+00:00,3.19,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,15.13,1,0,0,0,0,0,90,1,0,1,1,1,1,76.2,1,1,0,0,1,0,1
1002,M1,North America,United States,Massachusetts Institute of Technology,https://www.mit.edu,https://www.mit.edu/,200,en,en,False,2026-08-11T11:13:36+00:00,1.793,0,1,11,1,0,0,0,0,0,0,0,0,0,0,1,2026-08-11,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,21.0,0,0,0,0,1,0,75,1,0,1,0,1,1,100.0,1,1,0,0,0,0,1
1003,M1,North America,United States,Stanford University,https://www.stanford.edu,https://www.stanford.edu/,200,en,en,False,2026-08-11T11:13:49+00:00,10.363,0,1,4,1,0,0,0,0,1,1,1,0,0,0,1,2026-08-06,1,0,1,1,11,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,18.88,1,0,0,0,0,0,100,1,0,1,1,1,1,100.0,1,1,0,0,0,0,1
1004,M1,North America,United States,Yale University,https://www.yale.edu,https://www.yale.edu/,200,en,en,False,2026-08-11T11:13:54+00:00,3.724,1,1,4,1,0,0,0,0,0,0,1,0,0,0,1,2026-08-06,1,1,1,0,5,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,21.0,1,1,0,0,0,0,100,1,0,1,1,1,0,30.8,1,1,0,0,0,0,1
1005,M1,North America,United States,Princeton University,https://www.princeton.edu,https://www.princeton.edu/,200,en,en,False,2026-08-11T11:13:58+00:00,2.319,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,2026-08-06,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,8.86,1,0,0,0,0,0,90,1,0,1,1,1,1,87.5,1,1,0,0,0,0,1
1006,M1,North America,United States,Columbia University,https://www.columbia.edu,https://www.columbia.edu/,200,en,en,False,2026-08-11T11:14:05+00:00,4.784,1,1,7,1,0,0,0,0,0,0,1,1,6,1,1,2026-12-29,1,1,1,1,20,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,7.02,1,1,1,0,0,0,75,1,0,1,0,1,0,98.2,1,1,0,1,0,0,1
1007,M1,North America,United States,University of Chicago,https://www.uchicago.edu,https://www.uchicago.edu/,200,en,en,False,2026-08-11T11:14:18+00:00,10.527,1,1,4,1,0,0,0,0,1,1,0,0,0,0,0,,1,1,1,1,4,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,8.45,1,1,1,0,0,0,75,1,0,1,1,1,1,100.0,1,1,0,0,1,0,1
1008,M1,North America,United States,University of Pennsylvania,https://www.upenn.edu,https://www.upenn.edu/,200,en,en,False,2026-08-11T11:14:29+00:00,8.758,1,1,6,1,0,0,0,0,0,0,1,1,3,1,1,2026-08-25,1,0,1,1,11,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,21.0,1,0,0,0,0,0,100,1,0,1,1,1,1,100.0,1,1,0,1,0,0,1
1009,M1,North America,Canada,California Institute of Technology,https://www.caltech.edu,https://www.caltech.edu/,200,en,en,False,2026-08-11T11:14:34+00:00,3.399,1,1,8,1,0,0,0,1,0,0,1,0,0,1,1,2026-08-27,1,1,1,1,14,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,12.63,1,1,0,0,0,0,100,1,0,1,1,1,1,90.5,1,1,0,1,0,0,1
1010,M1,North America,United States,Cornell University,https://www.cornell.edu,https://www.cornell.edu/,200,en,en,False,2026-08-11T11:14:47+00:00,10.283,1,1,1,1,0,0,0,0,0,0,1,1,5,0,1,,1,1,1,1,6,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,13.39,1,1,0,0,0,0,50,1,0,1,1,1,1,65.6,1,1,0,0,1,0,1
