country,n,mean_score,best_global,median_global
Australia,38,68.647,8,236.0
Bangladesh,22,65.495,45,331.0
India,90,64.819,3,297.0
France,23,64.703,18,364.0
South Africa,21,63.801,20,321.0
United Kingdom,40,60.385,31,458.5
Germany,34,58.642,4,466.0
Canada,27,57.832,74,416.0
Pakistan,25,57.135,47,446.0
United States,172,56.968,2,530.5
Italy,32,50.404,1,635.0
Netherlands,20,50.023,91,598.5
Poland,28,47.912,81,688.0
Japan,41,45.784,14,702.0
Spain,34,42.766,107,823.5
South Korea,23,42.403,139,828.0
China,50,29.37,348,946.5
Brazil,57,20.1,397,1110.0
Mexico,20,19.139,414,1141.5
