feature,importance_mean,importance_sd,block
content_completeness_B5,0.5666901659198551,0.27599666331295125,B5_page_content
a34_department_links,0.49775467961298914,0.11770197157314746,B5_page_content
a03_nav_item_count,0.4315295473293741,0.16028704716733982,B1_header_nav
a46_admissions_policy,0.3408246449129557,0.19491416100253192,B5_page_content
a53_contrast_ratio,0.3030500693050042,0.19723776214298722,B7_visual_design
notice_recency_days,0.28778602935748937,0.16761398740751493,B3_notices_updates
a38_scholarship,0.2323902263359386,0.11591674942254011,B5_page_content
a37_programs_listing,0.22556229797184024,0.08639151352645243,B5_page_content
nav_quality,0.20988428462337275,0.11221340599194748,B1_header_nav
a22_admission_notice,0.18637496780158547,0.10654026074116336,B3_notices_updates
notice_evidence,0.11179613765544777,0.08657784211405863,B3_notices_updates
event_evidence,0.059730680316415194,0.06047021790151562,B4_events_media
a43_contact_link,0.04788383557215776,0.04295125452872335,B5_page_content
a39_library_link,0.04688495706173993,0.0438999526923325,B5_page_content
load_time_z_region,0.02016519405347073,0.05089392063194043,B9_technical_perf
a27_event_datetime,0.019353119161806362,0.027341837260088892,B4_events_media
a57_logo_prominence,0.017643033303841402,0.02422296144121579,B7_visual_design
footer_completeness_B6,0.014252374272063066,0.043085321881096435,B6_footer
a40_career_link,0.012647713930367942,0.022971316552786964,B5_page_content
a15_stat_item_count,0.008983811027247456,0.027296705071171913,B2_rankings_recog
a47_footer_contact,0.008509690524267387,0.019926803443245697,B6_footer
a09_national_rank,0.007932398579435422,0.01812471471339278,B2_rankings_recog
a51_quick_links,0.004081106695139175,0.031274028611894975,B6_footer
a66_broken_links,0.003774846433644325,0.020245981890741484,B9_technical_perf
a67_gzip,0.003593697133855471,0.016148012907708308,B9_technical_perf
a73_accessible_design,0.0027209370821501635,0.007148068512506917,B11_accessibility
a48_footer_sitemap,0.0026281828606200246,0.006769785029293493,B6_footer
a25_event_images,0.0017465441410027644,0.007015765704519747,B4_events_media
broken_links_log,0.001212781853830179,0.0084744538950978,B9_technical_perf
a05_language_toggle,0.001086465944727036,0.008094006204205764,B1_header_nav
a50_social_links,0.0008654490222603608,0.005546574151174731,B6_footer
a58_live_chat,0.0008077347379728501,0.0104939387310521,B8_service_interact
a04_search_bar,0.0004149694680742133,0.0014775753024899156,B1_header_nav
a60_trust_seal,0.00027648094418046836,0.006387976766295064,B8_service_interact
a72_alt_text_pct,0.000118658170938415,0.05909578756822109,B11_accessibility
a02_primary_nav,8.54821032193965e-05,0.009598457932801983,B1_header_nav
a65_https,0.0,0.0,B9_technical_perf
a75_bookmark,0.0,0.0,B11_accessibility
a72_missing,0.0,0.0,B11_accessibility
a53_missing,0.0,0.0,B7_visual_design
a59_feedback_form,0.0,0.0,B8_service_interact
a71_sitemap_robots,-2.0904486208239833e-05,0.00623017416649652,B10_seo_metadata
a26_event_captions,-2.204914360496501e-05,0.013578082670447661,B4_events_media
a01_logo,-0.00020662840059585186,0.0010797799626062116,B1_header_nav
a20_news_events,-0.00023605403950161197,0.0012176617202954941,B3_notices_updates
a12_accred_count,-0.0002556577481128001,0.004730177977536692,B2_rankings_recog
a35_faculty_link,-0.00031729926826708167,0.0016384520750581141,B5_page_content
mobile_ordinal,-0.00042927745082838373,0.007767831254324182,B9_technical_perf
a54_banner_carousel,-0.000430219156261978,0.0016475878615771324,B7_visual_design
a30_image_gallery,-0.00046800812816492513,0.0011398523118734958,B4_events_media
broken_links_present,-0.0006411715369864505,0.00204498297755383,B9_technical_perf
a42_faq_link,-0.0008340409354169448,0.010158740852678568,B5_page_content
a36_research_highlight,-0.0010330471541720658,0.0034880543608430017,B5_page_content
a32_vision_mission,-0.001398015863201711,0.005082139841804047,B5_page_content
a06_breadcrumb,-0.0016207986987902426,0.005134578023554325,B1_header_nav
a28_contests,-0.0016899569599998485,0.009868054429347543,B4_events_media
a07_qs_badge,-0.00185607177097892,0.0045623285955106625,B2_rankings_recog
a11y_completeness_B11,-0.002231037695060098,0.010748269703102026,B11_accessibility
a45_prospectus,-0.0022895062457865658,0.006900672636616891,B5_page_content
a21_calendar_link,-0.0025822868122566665,0.008901371472137829,B3_notices_updates
a63_mobile_score,-0.002619197559515329,0.013935022310732419,B9_technical_perf
a69_title_meta,-0.0028096378455421313,0.00461796923411497,B10_seo_metadata
nav_completeness_B1,-0.0029002496313066456,0.017234826913366964,B1_header_nav
a18_missing,-0.0029078854932837986,0.004209072163352713,B3_notices_updates
a31_social_feed_embed,-0.0030381297283057973,0.00833606475577809,B4_events_media
a61_testimonials,-0.003289879954893002,0.007053518755937383,B8_service_interact
a11_accreditation,-0.0032943559787599152,0.007391590539646901,B2_rankings_recog
a70_favicon,-0.003422780074028318,0.004140020201638101,B10_seo_metadata
service_completeness_B8,-0.0037705575231461066,0.00769091977998682,B8_service_interact
a49_copyright_line,-0.0045961916871264386,0.011865379252015161,B6_footer
a29_video_content,-0.004613484797340151,0.008211973106490255,B4_events_media
a44_student_portal,-0.0056557358927653055,0.013592013608086314,B5_page_content
a74_a11y_toggle,-0.005802072565602581,0.016229580683305052,B11_accessibility
events_completeness_B4,-0.0058287535233802305,0.059433768745646834,B4_events_media
a41_alumni_link,-0.005986327833068067,0.01395477268375649,B5_page_content
a13_achievements,-0.00761232124796217,0.03752252643192983,B2_rankings_recog
a33_about_blurb,-0.009120253692041221,0.017764108512982206,B5_page_content
seo_completeness_B10,-0.014073182266522643,0.01873830891747243,B10_seo_metadata
