model,seed,fold,spearman,kendall,mae,rmse,r2,best
mean (baseline),0,0,0.0,0.0,2.0995803479166355,2.4785226618681047,-0.0003049749416279557,{}
mean (baseline),0,1,0.0,0.0,1.9776780105274505,2.3300539696782887,-0.0020628485511402506,{}
mean (baseline),0,2,0.0,0.0,2.0808269932083183,2.496436884961868,-0.0003026870630626899,{}
mean (baseline),0,3,0.0,0.0,2.1285643233988174,2.5444174697980295,-0.0007530377030273705,{}
mean (baseline),0,4,0.0,0.0,2.025725088204143,2.4674302302056166,-0.00021024215362253074,{}
mean (baseline),1,0,0.0,0.0,2.049045253243189,2.418543689485379,-0.0012856006849804036,{}
mean (baseline),1,1,0.0,0.0,2.1183424248253537,2.457908058819122,-0.00010973909972067375,{}
mean (baseline),1,2,0.0,0.0,2.122312686606757,2.5710378815490724,-3.2332453048233845e-07,{}
mean (baseline),1,3,0.0,0.0,2.0587963563477105,2.5064840673632474,-0.0009009643770505615,{}
mean (baseline),1,4,0.0,0.0,1.9608518111159292,2.362373543134885,-4.443852981372842e-05,{}
mean (baseline),2,0,0.0,0.0,2.0221024006438597,2.325205730634503,-0.0017908600231268945,{}
mean (baseline),2,1,0.0,0.0,2.0020410602733683,2.3840661268853207,-8.713796918868866e-05,{}
mean (baseline),2,2,0.0,0.0,2.0683645382369447,2.5484696245136487,-8.162949932399854e-05,{}
mean (baseline),2,3,0.0,0.0,2.128304822481719,2.545865733502335,-6.432701736813762e-05,{}
mean (baseline),2,4,0.0,0.0,2.0895868301542255,2.5103046323735017,-0.0022129418836784875,{}
mean (baseline),3,0,0.0,0.0,1.8959561863163557,2.2794286595675675,-0.001696480682232604,{}
mean (baseline),3,1,0.0,0.0,2.0038128479955395,2.3847340177291736,-0.022249058710075653,{}
mean (baseline),3,2,0.0,0.0,2.0842001493854765,2.4791173379416613,-0.0006472631952016972,{}
mean (baseline),3,3,0.0,0.0,2.1625841549459235,2.599555488341068,-0.0012904880912254502,{}
mean (baseline),3,4,0.0,0.0,2.163428301247212,2.5746172030329753,-0.0015607619104867076,{}
mean (baseline),4,0,0.0,0.0,2.016829255943634,2.4368200270023865,-0.003220239609731612,{}
mean (baseline),4,1,0.0,0.0,2.0622758609709697,2.4509890063947837,-0.003087432766687881,{}
mean (baseline),4,2,0.0,0.0,2.1004291735045326,2.5469342479981454,-0.0010895107739428145,{}
mean (baseline),4,3,0.0,0.0,2.1424925654164677,2.5336094371641944,-0.0012397859652197862,{}
mean (baseline),4,4,0.0,0.0,1.995413554604903,2.3530988817583527,-0.005314952576990883,{}
Track A composite,0,0,0.8562178324241179,0.6666716358391629,1.186090660421939,1.5033807749394432,0.6319688108471919,{}
Track A composite,0,1,0.8465127723458282,0.6563416135866218,1.1022937008822058,1.3387430993791947,0.6692061013536463,{}
Track A composite,0,2,0.7539909427102687,0.5780765469836103,1.4333092690580669,1.7824040401500152,0.4900793850387932,{}
Track A composite,0,3,0.85848304423914,0.673508797951695,1.3408975894139654,1.6640918500935669,0.5719398820421606,{}
Track A composite,0,4,0.653407759056454,0.4759462172191978,1.4978951782027858,1.9338993666228388,0.38557443545281944,{}
Track A composite,1,0,0.8063820690768412,0.620339244159221,1.2497746451398666,1.5049963996517546,0.6122774873323443,{}
Track A composite,1,1,0.7909902325628045,0.6229132659192178,1.275095508110233,1.6305994076179688,0.5598396180922819,{}
Track A composite,1,2,0.777569301943858,0.5637107654392921,1.4696972997195903,1.8127738865331917,0.502869438942599,{}
Track A composite,1,3,0.7998123827392122,0.6153846153846155,1.3176662812351645,1.6943073222796763,0.5426532613247866,{}
Track A composite,1,4,0.7697449917923215,0.6045592377612472,1.2245890081827415,1.593163349340592,0.5451766293049605,{}
Track A composite,2,0,0.7195284545650485,0.5575567820566721,1.4220742423661952,1.6887185379864325,0.4715926650348975,{}
