feature,mean_abs_shap,block
content_completeness_B5,0.4388128528291975,B5_page_content
a34_department_links,0.4092749606408402,B5_page_content
a38_scholarship,0.3444723781588718,B5_page_content
a03_nav_item_count,0.3099470031893866,B1_header_nav
notice_recency_days,0.30046429223928167,B3_notices_updates
nav_quality,0.26904586910734324,B1_header_nav
a46_admissions_policy,0.24256505416642143,B5_page_content
a53_contrast_ratio,0.22790291239901897,B7_visual_design
notice_evidence,0.22739458993172193,B3_notices_updates
a37_programs_listing,0.1997723638265013,B5_page_content
a22_admission_notice,0.19110203626968444,B3_notices_updates
event_evidence,0.11401037169317478,B4_events_media
load_time_z_region,0.09891294695758658,B9_technical_perf
a39_library_link,0.09600327634320308,B5_page_content
a43_contact_link,0.08088484251785662,B5_page_content
footer_completeness_B6,0.07660404769083405,B6_footer
events_completeness_B4,0.05831725700994563,B4_events_media
a51_quick_links,0.05368087496306238,B6_footer
a72_alt_text_pct,0.050907644640382506,B11_accessibility
a40_career_link,0.05003890330375889,B5_page_content
a27_event_datetime,0.04587291427857542,B4_events_media
a66_broken_links,0.04555725529158525,B9_technical_perf
a15_stat_item_count,0.03790064917219195,B2_rankings_recog
a67_gzip,0.03652306287563049,B9_technical_perf
a09_national_rank,0.03649807035817645,B2_rankings_recog
a57_logo_prominence,0.03516692924482626,B7_visual_design
a13_achievements,0.02564049144077002,B2_rankings_recog
a63_mobile_score,0.021901496098080557,B9_technical_perf
a28_contests,0.02109096455938056,B4_events_media
a47_footer_contact,0.019579257032783747,B6_footer
a26_event_captions,0.019417719156000195,B4_events_media
broken_links_log,0.017445797346099915,B9_technical_perf
a33_about_blurb,0.01647284571318478,B5_page_content
a05_language_toggle,0.01568118843750664,B1_header_nav
mobile_ordinal,0.015325765687211779,B9_technical_perf
a32_vision_mission,0.014276071955078556,B5_page_content
a44_student_portal,0.013899018273541446,B5_page_content
a48_footer_sitemap,0.01091004042835276,B6_footer
a41_alumni_link,0.010095834777139783,B5_page_content
a25_event_images,0.009892470540382576,B4_events_media
seo_completeness_B10,0.009568789953837593,B10_seo_metadata
a21_calendar_link,0.008972396949043665,B3_notices_updates
a71_sitemap_robots,0.00896188964692785,B10_seo_metadata
a18_missing,0.008809503690397229,B3_notices_updates
a29_video_content,0.008252997326443018,B4_events_media
a58_live_chat,0.007453125639608304,B8_service_interact
a70_favicon,0.006950688439639956,B10_seo_metadata
a12_accred_count,0.005556189257894267,B2_rankings_recog
nav_completeness_B1,0.005551749388818194,B1_header_nav
a50_social_links,0.00520098654060257,B6_footer
a31_social_feed_embed,0.004244897070766249,B4_events_media
service_completeness_B8,0.003915097767723717,B8_service_interact
a74_a11y_toggle,0.0032462521412078157,B11_accessibility
a69_title_meta,0.003210989522144482,B10_seo_metadata
a42_faq_link,0.0027571777886641214,B5_page_content
a36_research_highlight,0.002495546342072203,B5_page_content
a60_trust_seal,0.002340711466820372,B8_service_interact
broken_links_present,0.0018986950261753181,B9_technical_perf
a02_primary_nav,0.0018317218479888611,B1_header_nav
a11y_completeness_B11,0.0017467571230457158,B11_accessibility
a49_copyright_line,0.0016636291918287716,B6_footer
a73_accessible_design,0.0016613932456830346,B11_accessibility
a20_news_events,0.0013479849125822957,B3_notices_updates
a45_prospectus,0.0012748328457437706,B5_page_content
a35_faculty_link,0.0010107273999369864,B5_page_content
a30_image_gallery,0.0010026613303865057,B4_events_media
a06_breadcrumb,0.0009635544552425364,B1_header_nav
a61_testimonials,0.0007693015989461805,B8_service_interact
a01_logo,0.0,B1_header_nav
a04_search_bar,0.0,B1_header_nav
a07_qs_badge,0.0,B2_rankings_recog
a11_accreditation,0.0,B2_rankings_recog
a54_banner_carousel,0.0,B7_visual_design
a59_feedback_form,0.0,B8_service_interact
a75_bookmark,0.0,B11_accessibility
a65_https,0.0,B9_technical_perf
a72_missing,0.0,B11_accessibility
a53_missing,0.0,B7_visual_design
