block,P1_domestic_student,P2_international_student,P3_accessibility_expert,P4_researcher,P5_literature_aligned,mean_weight_pct
B10_seo_metadata,2.43,2.86,5.18,3.24,4.51,3.64
B11_accessibility,3.22,3.87,14.47,4.67,5.98,6.44
B1_header_nav,11.32,13.14,11.68,9.13,12.01,11.46
B2_rankings_recog,1.33,2.67,1.33,4.0,1.33,2.13
B3_notices_updates,16.67,12.0,10.25,11.75,12.75,12.68
B4_events_media,9.24,8.76,7.24,9.3,10.0,8.91
B5_page_content,42.98,41.95,29.08,41.88,33.75,37.93
B6_footer,5.66,5.86,4.36,5.76,5.33,5.39
B7_visual_design,1.86,2.29,5.61,2.48,4.88,3.42
B8_service_interact,1.3,2.03,1.3,2.48,1.78,1.78
B9_technical_perf,4.0,4.57,9.5,5.33,7.68,6.22
