block,mean_weight_pct,realised_share_pct,ratio_realised_to_nominal,sd,equal_weight_share_pct
B5_page_content,37.93,55.88149373820321,1.47,0.2493193517629767,15.15
B3_notices_updates,12.68,18.462930961648425,1.46,0.2730844429262487,15.71
B1_header_nav,11.46,5.43768285028579,0.47,0.1855282844193159,5.95
B4_events_media,8.91,6.885398710825097,0.77,0.199001822220999,8.99
B11_accessibility,6.44,4.675464447206261,0.73,0.1951356221640451,9.4
B9_technical_perf,6.22,1.1977795903440984,0.19,0.146487782161704,3.94
B6_footer,5.39,3.5887431366682403,0.67,0.2281938724914561,10.75
B10_seo_metadata,3.64,1.658062356688365,0.46,0.2646357708788141,9.73
B7_visual_design,3.42,0.13719805791343404,0.04,0.1765780084268684,3.42
B2_rankings_recog,2.13,1.542292232786577,0.72,0.2231543284003039,10.9
B8_service_interact,1.78,0.5329539174305497,0.3,0.1676916840300548,6.05
