sid,uni_id,name,region,country,trackA_consensus
S-6570,2191,Vrije Universiteit Brussel,Western & Northern Europe,Belgium/Ireland/Iceland,83.83259788723464
S-9267,1191,Universidad de las Americas Puebla,North America,United States,70.37157028998827
S-5238,5115,University of Queensland,South & Central Asia + Oceania,Australia,80.51612243896469
S-1057,1150,Carleton College,North America,Canada,45.0
S-2311,1017,Brown University,North America,United States,77.04917245114423
S-8055,1073,Auburn University,North America,United States,73.18747973181634
S-3528,1111,University of St. Thomas,North America,United States,71.21370182306762
S-9709,3106,University of Minho,Eastern & Southern Europe,Portugal,59.3276328528019
S-2192,6004,Sao Paulo State University,Latin America & Africa,Brazil,27.89709824993439
S-2431,4136,National Yunlin University of Science and Technology,Asia (East & Southeast),Taiwan,69.7041719806825
S-1048,2083,Claude Bernard University Lyon 1,Western & Northern Europe,France,69.73693240608581
S-6757,6339,Mekelle University,Latin America & Africa,Sub-Saharan Africa,53.90977953514406
S-5797,1045,University of Miami,North America,United States,63.797152308464966
S-7005,3094,Maria Curie-Sklodowska University,Eastern & Southern Europe,Poland,68.4436923577336
S-6237,5140,University of Southern Queensland,South & Central Asia + Oceania,Australia,64.50719008938651
S-1122,4140,Hong Kong University of Science and Technology,Asia (East & Southeast),Hong Kong,83.5100514979757
S-2797,5107,Rajshahi University of Engineering and Technology,South & Central Asia + Oceania,Bangladesh,79.11494887915443
S-8271,3311,West Pomeranian University of Technology,Eastern & Southern Europe,Poland,62.35607449873888
S-3155,5080,International Islamic University Islamabad,South & Central Asia + Oceania,Pakistan,66.33148848589585
S-5482,5120,Macquarie University,South & Central Asia + Oceania,Australia,45.0
S-2766,1186,Concordia University,North America,Canada,80.13078902946285
S-6747,2023,University of Exeter,Western & Northern Europe,United Kingdom,68.34821179970551
S-7629,5055,University of Calicut,South & Central Asia + Oceania,India,45.0
S-3559,6106,University of Cape Town,Latin America & Africa,South Africa,71.15127431362642
S-8561,2308,University of Namur,Western & Northern Europe,Belgium/Ireland/Iceland,72.78790221838504
S-5396,4083,Yamaguchi University,Asia (East & Southeast),Japan,54.79240078620023
S-9341,5017,University of Hyderabad,South & Central Asia + Oceania,India,69.8301652915004
S-6406,2091,Toulouse III - Paul Sabatier University,Western & Northern Europe,France,72.22439845707468
S-5762,6112,Rhodes University,Latin America & Africa,South Africa,45.0
S-9619,3209,Estonian University of Life Sciences,Eastern & Southern Europe,Baltics,81.03392009663156
S-1054,5035,NIT Karnataka Surathkal,South & Central Asia + Oceania,India,45.0
S-7935,1086,Washington State University,North America,United States,65.06107388538562
S-3397,5123,Deakin University,South & Central Asia + Oceania,Australia,74.79795341378318
S-7907,5071,University of Karachi,South & Central Asia + Oceania,Pakistan,29.020017671323323
S-3835,5323,University of Barisal,South & Central Asia + Oceania,Bangladesh,69.84180805449
S-9001,4304,Beijing Forestry University,Asia (East & Southeast),China,45.0
S-4118,1036,Vanderbilt University,North America,United States,72.31254967027694
S-9177,6023,Federal University of Juiz de Fora,Latin America & Africa,Brazil,32.51099195297981
S-4748,6090,Diego Portales University,Latin America & Africa,Chile,32.186912484246434
S-6335,4137,Asia University Taiwan,Asia (East & Southeast),Taiwan,61.31069870559433
S-2772,6006,Federal University of Rio Grande do Sul,Latin America & Africa,Brazil,33.519948209397135
S-6051,3194,Slovak University of Technology in Bratislava,Eastern & Southern Europe,Bulgaria & Slovakia,75.5251719104603
S-3894,6317,National University of San Luis,Latin America & Africa,Argentina,54.25657660827692
S-6074,2111,Maastricht University,Western & Northern Europe,Netherlands,76.73975374985216
S-9656,1005,Princeton University,North America,United States,68.73809424549219
S-7911,1195,Baylor College of Medicine,North America,United States,68.2623988387625
S-7319,1113,Temple University,North America,United States,72.10843762271134
S-3026,3030,University of Calabria,Eastern & Southern Europe,Italy,57.63733324352104
S-4810,6353,Technical University of Kenya,Latin America & Africa,Sub-Saharan Africa,76.71793171264281
S-6266,4043,Zhengzhou University,Asia (East & Southeast),China,22.78452253341688
S-2849,5014,Indian Institute of Technology Gandhinagar,South & Central Asia + Oceania,India,73.78148000034696
S-3309,3200,Tallinn University of Technology,Eastern & Southern Europe,Baltics,50.2432996791838
S-4341,4040,Wuhan University of Technology,Asia (East & Southeast),China,49.91189785343026
S-3920,2114,Amsterdam University of Applied Sciences,Western & Northern Europe,Netherlands,60.90239356689624
S-3324,5096,University of Chittagong,South & Central Asia + Oceania,Bangladesh,72.33177645719806
S-2122,4061,Tokyo Institute of Technology,Asia (East & Southeast),Japan,69.97350791607224
S-7811,4131,National Chung Hsing University,Asia (East & Southeast),Taiwan,71.7951140005998
S-9910,2169,Tampere University,Western & Northern Europe,Finland,35.76224693068606
S-6904,3073,Rey Juan Carlos University,Eastern & Southern Europe,Spain,38.70656231677759
S-1459,3122,University of Thessaly,Eastern & Southern Europe,Greece,74.53875707048908
S-6060,3139,University of West Bohemia,Eastern & Southern Europe,Czechia,63.66273922919584
S-3724,2105,Erasmus University Rotterdam,Western & Northern Europe,Netherlands,62.76016671422947
S-7034,3314,University of Zagreb Faculty,Eastern & Southern Europe,Balkans,55.16516630773739
S-2483,6053,Veracruzana University,Latin America & Africa,Mexico,50.47223012590005
S-9630,5117,University of Western Australia,South & Central Asia + Oceania,Australia,70.93039334760462
S-4726,1016,University of Michigan,North America,United States,61.74866606044488
S-4269,6073,University of Antioquia,Latin America & Africa,Colombia,31.164492840657942
S-6614,5010,Indian Institute of Technology Indore,South & Central Asia + Oceania,India,60.97800832066508
S-3771,6104,Higher University of San Andres Bolivia,Latin America & Africa,Peru & Andes,48.5291973516819
S-9663,1302,Memorial University of Newfoundland,North America,Canada,75.1143049155509
S-9176,4211,University of Danang,Asia (East & Southeast),Vietnam,58.36920206868583
S-5818,3053,University of Santiago de Compostela,Eastern & Southern Europe,Spain,68.06737707460705
S-7982,5326,Rajarata University of Sri Lanka,South & Central Asia + Oceania,Sri Lanka,67.84706549572834
S-5473,5069,University of the Punjab,South & Central Asia + Oceania,Pakistan,68.22522580748377
S-7915,1012,"University of California, Berkeley",North America,United States,72.2958591970587
S-3822,6018,Federal University of Paraiba,Latin America & Africa,Brazil,29.333716904440585
S-7301,4041,Jinan University,Asia (East & Southeast),China,45.0
S-8528,3004,University of Padua,Eastern & Southern Europe,Italy,49.080973047871495
S-6126,6511,University of Quintana Roo,Latin America & Africa,Mexico,32.700840577033446
S-1011,3037,Scuola Normale Superiore di Pisa,Eastern & Southern Europe,Italy,73.30366312811307
S-1953,4116,Jeonbuk National University,Asia (East & Southeast),South Korea,45.0
S-2239,6044,Autonomous Metropolitan University,Latin America & Africa,Mexico,17.081713037667
